,name,country,region,rating,rating_count,price,value_for_money,price_category
697,Aldo Conterno Barbera d'Alba Conca Tre Pile 2022,Italy,Barbera d'Alba,4.1,5938,40,0.1,Budget
703,Bisol Crede Valdobbiadene Prosecco Superiore Brut 2023,Italy,Conegliano-Valdobbiadene Prosecco Superiore,3.9,5902,26,0.15,Budget
704,Bisol Crede Valdobbiadene Prosecco Superiore Brut 2024,Italy,Conegliano-Valdobbiadene Prosecco Superiore,3.9,5902,26,0.15,Budget
711,Aldo Conterno Barolo Bussia 2021,Italy,Barolo,4.3,5865,165,0.03,Premium
726,Librandi Duca Sanfelice Cirò Classico Superiore Riserva Rosso 2022,Italy,Cirò,3.7,5761,24,0.15,Budget
728,Coltibuono Chianti Classico Riserva 2022,Italy,Chianti Classico,3.9,5747,41,0.1,Budget
733,Cielo e Terra Prosecco Frizzante,Italy,Prosecco,3.8,5722,17,0.22,Budget
755,Stella Rosa Moscato d'Asti Semi-Sweet,Italy,Piemonte,4.2,5613,9,0.47,Budget
756,Argiolas Korem Isola dei Nuraghi 2022,Italy,Isola dei Nuraghi,4.1,5597,60,0.07,Budget
758,Fantinel Prosecco Extra Dry,Italy,Prosecco,3.7,5590,21,0.18,Budget
763,Casa Lunardi Pinot Grigio 2024,Italy,delle Venezie,3.8,5570,15,0.25,Budget
768,Danzante Pinot Grigio 2024,Italy,delle Venezie,3.6,5545,18,0.2,Budget
774,Tommasi Valpolicella Ripasso (Classico Superiore) 2018,Italy,Valpolicella Ripasso,4.0,5523,33,0.12,Budget
781,Cavit Lunetta Prosecco,Italy,Prosecco,3.6,5485,13,0.28,Budget
782,Fattoria di Rodano Chianti Classico 2023,Italy,Chianti Classico,3.9,5483,27,0.14,Budget
793,Luca Bosio Truffle Hunter Leda Barbera d'Asti 2024,Italy,Barbera d'Asti,3.7,5411,16,0.24,Budget
801,Maso Canali Trentino Pinot Grigio 2024,Italy,Trentino,3.9,5365,19,0.21,Budget
805,Val di Suga Rosso di Montalcino 2023,Italy,Rosso di Montalcino,3.7,5335,27,0.13,Budget
806,Giacomo Fenocchio Barolo 2021,Italy,Barolo,4.0,5333,65,0.06,Mid Range
810,Damilano Barbera d'Asti 2024,Italy,Barbera d'Asti,3.9,5319,27,0.14,Budget
811,Contadi Castaldi Franciacorta Rosé,Italy,Franciacorta,3.8,5306,33,0.12,Budget
815,Masi Campolongo di Torbe Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,4.5,5285,184,0.02,Premium
821,St. Michael-Eppan Sanct Valentin Pinot Grigio 2024,Italy,Südtirol - Alto Adige,4.2,5258,50,0.08,Budget
823,Cavicchioli Lambrusco dell'Emilia Dolce Rosso,Italy,Emilia,3.9,5231,11,0.35,Budget
825,Torresella Prosecco Extra Dry,Italy,Prosecco,3.9,5222,18,0.22,Budget
830,Cielo e Terra Appassionante 2019,Italy,Veneto,4.2,5206,37,0.11,Budget
833,Guido Berlucchi ‘61 Franciacorta Brut,Italy,Franciacorta,3.8,5200,40,0.1,Budget
837,Vigneti del Sole Montepulciano d'Abruzzo 2024,Italy,Montepulciano d'Abruzzo,3.8,5187,10,0.36,Budget
848,Michele Chiarlo Barbaresco Reyna 2022,Italy,Barbaresco,4.0,5144,54,0.07,Budget
850,I Lauri Bajo Montepulciano d'Abruzzo 2023,Italy,Montepulciano d'Abruzzo,3.8,5140,13,0.3,Budget
859,Brigaldara Valpolicella 2024,Italy,Valpolicella,3.6,5112,24,0.15,Budget
863,Produttori del Barbaresco Barbaresco Riserva Ovello 1990,Italy,Barbaresco,4.2,5105,456,0.01,Premium
864,Produttori del Barbaresco Barbaresco Riserva Ovello 1979,Italy,Barbaresco,4.2,5105,445,0.01,Premium
866,Mirafiore Barolo 2021,Italy,Barolo,4.1,5103,39,0.11,Budget
870,Vite Colte Paesi Tuoi Barolo 2021,Italy,Barolo,3.9,5080,37,0.11,Budget
871,Elvio Cogno Barolo Ravera 2021,Italy,Barolo,4.1,5076,120,0.03,Premium
880,Cantine Leonardo da Vinci Da Vinci Chianti Riserva 2022,Italy,Chianti,3.7,5040,23,0.16,Budget
