name,country,region,rating,rating_count,price
Chateau Ste. Michelle Sauvignon Blanc 2024,"('United States',)","('Columbia Valley',)",3.7,12390,16.95
Benziger Cabernet Sauvignon 2023,"('United States',)","('Sonoma County',)",3.8,12340,15.95
Crios Rosé of Malbec 2024,"('Argentina',)","('Uco Valley',)",3.6,12272,16.18
Bonneau du Martray Corton-Charlemagne Grand Cru 2022,"('France',)","('Corton-Charlemagne Grand Cru',)",4.4,12205,760.0
Layer Cake Malbec 2024,"('Argentina',)","('Mendoza',)",3.6,12202,17.69
Ruffino Orvieto Classico Bianco 2024,"('Italy',)","('Orvieto',)",3.6,12166,12.29
Seghesio Old Vine Zinfandel 2000,"('United States',)","('Sonoma County',)",4.1,12120,52.49
Paxis Red Blend (Bulldog) 2021,"('Portugal',)","('Lisboa',)",3.7,12088,9.99
Château l'Évangile Pomerol 2022,"('France',)","('Pomerol',)",4.5,12079,557.83
Château l'Évangile Pomerol 2021,"('France',)","('Pomerol',)",4.5,12079,189.94
Silver Palm Cabernet Sauvignon 2023,"('United States',)","('North Coast',)",3.8,11985,12.97
Bonterra Zinfandel 2023,"('United States',)","('Mendocino County',)",3.7,11945,10.99
Cousiño-Macul Finis Terrae Red Blend 2020,"('Chile',)","('Maipo Valley',)",4.1,11935,42.76
Contadi Castaldi Franciacorta Brut,"('Italy',)","('Franciacorta',)",3.8,11905,31.89
Carpenè Malvolti Conegliano Valdobbiadene Prosecco Superiore Extra Dry,"('Italy',)","('Conegliano-Valdobbiadene Prosecco Superiore',)",3.8,11893,26.39
Zorzal Terroir Único Malbec 2025,"('Argentina',)","('Tupungato',)",3.4,11890,17.49
Taittinger Cuvée Prestige Brut Champagne,"('France',)","('Champagne',)",4.1,11886,68.99
Tikal Amorío Malbec 2022,"('Argentina',)","('Mendoza',)",4.2,11885,39.59
Argyle Grower Series Pinot Noir 2024,"('United States',)","('Willamette Valley',)",3.7,11877,36.56
19 Crimes Shiraz,"('Australia',)","('South Eastern Australia',)",3.7,11847,11.67
Louis Roederer Collection 242 Champagne,"('France',)","('Champagne',)",4.3,11842,79.99
Andre Clouet Brut Nature Silver Champagne Grand Cru 'Bouzy',"('France',)","(""Champagne Grand Cru 'Bouzy'"",)",3.9,11828,68.83
Bodegas Faustino I Gran Reserva 2001,"('Spain',)","('Rioja Alavesa',)",4.0,11824,153.0
Château Potensac Chapelle de Potensac Médoc 2022,"('France',)","('Médoc',)",3.8,11822,63.3
Santi Santico Amarone della Valpolicella Classico 2020,"('Italy',)","('Amarone della Valpolicella Classico',)",4.2,11813,80.0
Michele Chiarlo Moscato d'Asti Nivole,"('Italy',)","(""Moscato d'Asti"",)",4.2,11792,23.84
Taittinger Prestige Rosé Brut Champagne,"('France',)","('Champagne',)",4.1,11788,79.75
Sonoma-Cutrer Russian River Ranches Chardonnay 2024,"('United States',)","('Sonoma Coast',)",4.0,11731,21.84
Susana Balbo Nosotros Single Vineyard Nómade 2021,"('Argentina',)","('Agrelo',)",4.6,11667,122.76
Álvaro Palacios Finca Dofí 2023,"('Spain',)","('Priorat',)",4.3,11605,159.55
Sterling Vineyards Napa Valley Cabernet Sauvignon 2021,"('United States',)","('Napa Valley',)",3.9,11594,42.89
San Marzano I Tratturi Primitivo 2024,"('Italy',)","('Puglia',)",3.8,11547,18.33
Tio Pepe Palomino Fino Sherry (Muy Seco),"('Spain',)","('Jerez-Xérès-Sherry',)",3.3,11491,18.97
Mumm Napa Brut Prestige,"('United States',)","('Napa Valley',)",3.8,11485,17.97
Fetzer Valley Oaks Cabernet Sauvignon 2022,"('United States',)","('California',)",3.5,11475,16.04
Sea Smoke Southing Pinot Noir 2023,"('United States',)","('Sta. Rita Hills',)",4.5,11436,110.87
Shafer Hillside Select Cabernet Sauvignon 2022,"('United States',)","('Stags Leap District',)",4.6,11403,349.99
Langlois Crémant de Loire Brut,"('France',)","('Crémant de Loire',)",3.8,11379,22.99
Louis Moreau Chablis 2024,"('France',)","('Chablis',)",3.9,11346,52.79
